Comment,Description,Designator,Footprint,LCSC Part #,LibRef,Quantity

"19-217/BHC-ZL1M2RY/3T","D - LED - 0603 - Blue","B","D_0603","C72041","19-217/BHC-ZL1M2RY/3T","1"
"CL05A106MQ5NUNC","C - CAPACITOR - MLCC - 10uF - 6.3V - 0402","C0, C1, C2, C6, C7","C_0402","C15525","CL05A106MQ5NUNC","5"
"CL05A105KA5NQNC","C - CAPACITOR - MLCC - 1uF - 25V - 0402","C3","C_0402","C52923","CL05A105KA5NQNC","1"
"CL05B104KO5NNNC","C - CAPACITOR - MLCC - 100nF - 16V - 0402","C4, C11","C_0402","C1525","CL05B104KO5NNNC","2"
"CL21A106KAYNNNE","C - CAPACITOR - MLCC - 10uF - 25V - 0805","C5","C_0805","C15850","CL21A106KAYNNNE","1"
"0402CG120J500NT","C - CAPACITOR - MLCC - 12pF - 50V - 0402","C8, C9","C_0402","C1547","0402CG120J500NT","2"
"0402CG101J500NT","C - CAPACITOR - MLCC - 100pF - 50V - 0402","C10","C_0402","C1546","0402CG101J500NT","1"
"19-217/GHC-YR1S2/3T","D - LED - 0603 - Green","G","D_0603","C72043","19-217/GHC-YR1S2/3T","1"
"NGFF_MALE_B","NGFF Male Finger, B Key","J3","NGFF_MALE_B","","NGFF_MALE_B","1"
"918-418K2023S40001","J - JACK - USB - Type C - Recepticle - SMT - 90°","J4","DX07S016JA1R1500","C167321","918-418K2023S40001","1"
"SDFL1608S100KTF","L - INDUCTOR - 10uH - 0603","L0","L_0603","C1035","SDFL1608S100KTF","1"
"AO3401A","Q - TRANSISTOR - MOSFET (P) - 30V - 1.4A - 0.44 Ohm","Q1","TO-236AB","C15127","AO3401A","1"
"2N7002","Q - TRANSISTOR - MOSFET (N) - 60V - 200mW","Q2","TO-236AB","C8545","2N7002","1"
"KT-0603R","D - LED - 0603 - Red","R","D_0603","C2286","KT-0603R","1"
"0402WGF220JTCE","R - RESISTOR - SMD - 22R - 1% - 0402","R0, R1","R_0402","C25092","0402WGF220JTCE","2"
"0402WGF470JTCE","R - RESISTOR - SMD - 47R - 1% - 0402","R2, R4","R_0402","C25118","0402WGF470JTCE","2"
"0402WGF1200TCE","R - RESISTOR - SMD - 120R - 1% - 0402","R3","R_0402","C25079","0402WGF1200TCE","1"
"0402WGF1001TCE","R - RESISTOR - SMD - 1k - 1% - 0402","R5","R_0402","C11702","0402WGF1001TCE","1"
"0","R - Net Tie","R6","NET_TIE","","NET_TIE","1"
"0402WGF1501TCE","R - RESISTOR - SMD - 1.5k - 1% - 0402","R7","R_0402","C25867","0402WGF1501TCE","1"
"0402WGF0000TCE","R - RESISTOR - SMD - 0R - 1% - 0402","R8","R_0402","C17168","0402WGF0000TCE","1"
"0402WGF1000TCE","R - RESISTOR - SMD - 100R - 1% - 0402","R10","R_0402","C25076","0402WGF1000TCE","1"
"0402WGF5101TCE","R - RESISTOR - SMD - 5.1k - 1% - 0402","R11, R12","R_0402","C25905","0402WGF5101TCE","2"
"TS-1187A-C-C-B","SW - SWITCH - SPST - NO - Top Actuated Surface Mount","SW","TS-1187A-C-C-B","C318889","TS-1187A-C-C-B","1"
"HT7533-1","U - IC - 3V3 Power Regulator","U1","SOT-223-3","C14289","HT7533-1","1"
"FUSB302BMPX","U - IC - USB PD PHY","U2","QFN-14-P0.5MM","C442699","FUSB302BMPX","1"
"GD32F103CBT6","U - IC - MCU, 128 KB Flash, 20 KB Internal RAM, 37 I/Os, 48-pin LQFP, -40 to 85 degC","U?","QFP-48-P0.5MM","C77979","GD32F103CBT6","1"
"X50328MSB2GI","Y - RESONATOR - 8MHZ ±10PPM - SMD-5032","Y0","YSX530GA","C115962","X50328MSB2GI","1"
